Uuid,Void/Retire,Fully specified name:es,Fully specified name:en,Short name:es,Short name:en,Description:es,Data class,Data type,_version:1,_order:1002
8e7bd8a4-1550-4a0a-8946-6214af7016e7,,Motivo de ajuste de inventario: Hallazgo en conteo,Inventory adjustment reason: Found during count,Hallazgo en conteo,Found during count,Existencia adicional encontrada durante un conteo físico.,Misc,N/A,,
d54fb56b-25ee-4b90-be87-c15aff12d541,,Motivo de ajuste de inventario: Corrección de registro,Inventory adjustment reason: Record correction,Corrección de registro,Record correction,Corrección documentada de un error previo de registro.,Misc,N/A,,
969e4223-a0d6-4712-b922-2ae8f5529e19,,Motivo de toma de inventario: Conteo rutinario,Stock take reason: Routine count,Conteo rutinario,Routine count,Conteo físico programado como parte de la operación regular.,Misc,N/A,,
5e0e225b-573b-46b3-901d-52eae2d0a87e,,Motivo de toma de inventario: Auditoría,Stock take reason: Audit,Auditoría,Audit,Conteo físico realizado por una auditoría de inventario.,Misc,N/A,,
2d937af5-9d27-4872-86df-f67b994cb7aa,,Motivo de toma de inventario: Investigación de discrepancia,Stock take reason: Discrepancy investigation,Investigación de discrepancia,Discrepancy investigation,Conteo para investigar una diferencia de existencias.,Misc,N/A,,
84ad9db5-bfc0-41c2-a2f0-c375d3dfcd53,,Motivo de toma de inventario: Cambio de responsable,Stock take reason: Custodian handover,Cambio de responsable,Custodian handover,Conteo realizado al transferir la responsabilidad del inventario.,Misc,N/A,,
d9faecd7-55f8-4ecc-9c1d-2aa6f6896002,,Tipo de fuente de inventario: Proveedor,Stock source type: Supplier,Proveedor,Supplier,Proveedor externo de artículos de inventario.,Misc,N/A,,
401f103e-8cd6-465f-8ec5-b728001e8c74,,Tipo de fuente de inventario: Donación,Stock source type: Donation,Donación,Donation,Origen correspondiente a una donación documentada.,Misc,N/A,,
1721c2c7-716c-454f-8afa-9c70e33acb91,,Tipo de fuente de inventario: Transferencia de otro establecimiento,Stock source type: Facility transfer,Transferencia de otro establecimiento,Facility transfer,Origen correspondiente a una transferencia desde otro establecimiento de salud.,Misc,N/A,,
f5ee51ce-be47-4ad7-b32a-b5b45bb8e6a6,,Tipo de fuente de inventario: Almacén central,Stock source type: Central warehouse,Almacén central,Central warehouse,Origen correspondiente al almacén central de la red.,Misc,N/A,,
28a915ce-c7e4-4d3e-9cdd-dbd906f1fa50,,Categoría de inventario: Medicamento,Stock category: Medicine,Medicamento,Medicine,Artículo farmacéutico administrado como medicamento.,Misc,N/A,,
1eae81d1-8598-460d-8122-440e31dba294,,Categoría de inventario: Dispositivo médico,Stock category: Medical device,Dispositivo médico,Medical device,Dispositivo médico o material biomédico administrado en inventario.,Misc,N/A,,
54b1b5d2-6a79-40ef-b28c-699c6bde50da,,Categoría de inventario: Insumo de laboratorio,Stock category: Laboratory supply,Insumo de laboratorio,Laboratory supply,Reactivo o material consumible utilizado por laboratorio.,Misc,N/A,,
623dd598-f7d2-4829-a4a3-4ef771575332,,Categoría de inventario: Vacuna,Stock category: Vaccine,Vacuna,Vaccine,Vacuna administrada con control de lote y vencimiento.,Misc,N/A,,
5b289e74-3386-4fb1-bef3-41f27aa88345,,Categoría de inventario: Otro insumo clínico,Stock category: Other clinical supply,Otro insumo clínico,Other clinical supply,Artículo clínico que no corresponde a las demás categorías de inventario.,Misc,N/A,,
