Uuid,Role name,Description,Inherited roles,Privileges,_order:1000
58f60da3-03bd-4b57-bb3c-429b50f6939b,Application: Registers Patients,Registers patients,Privilege Level: High,app:home.admision,
564b560e-3fe8-4829-8be4-68ddb40cf106,Application: Uses Patient Summary,Uses patient summary,Privilege Level: High,View Attachments;app:hoja.clinica;app:hoja.clinica.resumen;app:hoja.clinica.signosVitales;app:hoja.clinica.medicamentos;app:hoja.clinica.ordenes;app:hoja.clinica.resultados;app:hoja.clinica.visitas;app:hoja.clinica.citas;app:hoja.clinica.alergias;app:hoja.clinica.condiciones;app:hoja.clinica.procedimientos;app:hoja.clinica.consultaExterna;app:hoja.clinica.adjuntos;app:hoja.clinica.historiaSocial;app:hoja.clinica.fichaFamiliar;app:hoja.clinica.tamizajes;app:hoja.clinica.odontologia;app:hoja.clinica.psicologia;app:hoja.clinica.terapiaFisica;app:hoja.clinica.interconsultas;app:hoja.clinica.inmunizaciones;app:hoja.clinica.imagenes;app:hoja.clinica.programas;app:hoja.clinica.facturacion,
93a9c2f8-9296-488f-9451-43667e1c4d7f,Application: Writes Clinical Notes,Writes clinical notes,Privilege Level: High,,
fab43ac4-79bc-4f3d-805b-bd3a82ce41e9,Organizational: Registration Clerk,Registration Clerk,Application: Registers Patients;,,
2f087f90-9c47-4262-bfce-23c7862e727e,Organizational: System Administrator,System Administrator,Application: Configures Forms; Application: Configures Metadata; Application: Administers System,,
e70120b5-000c-4e6f-94a5-a139c2b4b25c,Enfermera,Mismos accesos funcionales que SIHSALUS Consulta Externa,SIHSALUS Consulta Externa,,
2049b153-6d8c-4bc1-96ab-f34f0ca43285,Laboratorio,Gestion operativa de ordenes y resultados de laboratorio,,Create Attachments;View Attachments;app:home;app:home.laboratorio;app:home.laboratorio.editar;app:opciones.busquedaPaciente;View Navigation Menu;Get Patients;View Patients;Get Patient Identifiers;View Patient Identifiers;Get Locations;View Locations;Get Providers;Get Concepts;View Concepts;Get Care Settings;Get Visits;Add Visits;Edit Visits;Get Visit Types;Get Visit Attribute Types;Get Admission Locations;Get Beds;Get Encounters;View Encounters;Add Encounters;Edit Encounters;Get Encounter Types;Get Encounter Roles;Get Observations;View Observations;Add Observations;Edit Observations;Delete Observations;Get Orders;View Orders;Add Orders;Edit Orders;Get Order Types;View Order Types;Get Order Frequencies;Get Diagnoses;Get Conditions;Get Allergies;View Allergies;Get Forms;View Forms;Form Entry,
29c9d9b4-0925-417f-9343-bf9d97ac02ba,Farmacia,Gestion operativa de prescripciones y dispensacion,Inventory Provider Access,app:home;app:home.farmacia;app:home.farmacia.editar;app:opciones.busquedaPaciente;View Navigation Menu;Get Patients;View Patients;Get Patient Identifiers;View Patient Identifiers;Get Locations;View Locations;Get Providers;Get Concepts;Get Concept Sources;View Concepts;Get Care Settings;Get Visits;Add Visits;Edit Visits;Get Visit Types;Get Visit Attribute Types;Get Admission Locations;Get Beds;Get Encounters;View Encounters;Add Encounters;Edit Encounters;Get Encounter Types;Get Encounter Roles;Get Observations;View Observations;Add Observations;Edit Observations;Get Orders;Get Medication Dispense;Edit Medication Dispense;View Orders;Add Orders;Edit Orders;Get Order Types;View Order Types;Get Order Frequencies;Get Diagnoses;Get Conditions;Get Allergies;View Allergies;Add Allergies;Edit Allergies;Task: dispensing.create.dispense;Task: dispensing.create.dispense.allowSubstitutions;Task: dispensing.edit.dispense;Task: dispensing.delete.dispense.ifCreator,
227fa2ff-f7ed-49f8-9fec-3ca63814df9e,super admin back privileges,Workaround con todos los privilegios backend sin privilegios app,Privilege Level: Full,Appointments: Invite Providers;Fua Privilege;Generate Fua from Visit;Get Admission Locations;Get Beds;Get Queue Entries;Get Queue Rooms;Get Queues;Manage Appointment Services;Manage Appointment Specialities;Manage Appointments;Manage Cohort Definitions;Manage Data Set Definitions;Manage Dimension Definitions;Manage Fua;Manage Indicator Definitions;Manage OrderTemplates;Manage Own Appointments;Manage Queue Entries;Manage Queue Rooms;Manage Queues;Manage Report Definitions;Manage Report Designs;Manage Reports;Manage Scheduled Report Tasks;Manage Token Registrations;O3 Implementer Tools;Purge Queue Entries;Purge Queue Rooms;Read Fua;Reset Appointment Status;Run Reports;Task: dispensing.create.dispense;Task: dispensing.create.dispense.allowSubstitutions;Task: dispensing.delete.dispense;Task: dispensing.delete.dispense.ifCreator;Task: dispensing.edit.dispense;Update Fua;View Appointment Services;View Appointments;View Calculations;View Token Registrations,
dfba6e33-d5d6-43a6-8add-66f00dbb56b4,SIHSALUS Login,Acceso basico al inicio de SIHSALUS,,app:home;Get People,
71dcb611-756a-4ad3-a9bb-73b6cfe28066,Admision,"Registro de pacientes, citas y check-in; sin historia clinica ni administracion general de colas",,Add Patient Identifiers;Add Patients;Add People;Add Relationships;Add Visits;app:home;app:home.admision;app:home.libroAtenciones;app:home.citas;app:home.citas.editar;app:home.colasAtencion;app:home.colasAtencion.editar;app:opciones.busquedaPaciente;app:opciones.registrarAcompanante;app:opciones.registrarPaciente;Appointments: Invite Providers;Delete Relationships;Edit Patient Identifiers;Edit Patients;Edit People;Edit Relationships;Edit Visits;Get Admission Locations;Get Beds;Get Concept Attribute Types;Get Concept Sources;Get Concepts;Get Encounters;Get Identifier Types;Get Location Attribute Types;Get Locations;Get Patient Identifiers;Get Patients;Get People;Get Person Attribute Types;Get Providers;Get Queue Entries;Get Queues;Get Relationship Types;Get Relationships;Get Visit Attribute Types;Get Visit Types;Get Visits;Manage Appointments;Manage Own Appointments;Manage Queue Entries;View Appointment Services;View Appointments;View Identifier Types;View Locations;View Navigation Menu;View Patient Identifiers;View Patients;View People;View Person Attribute Types;View Relationship Types;View Relationships;app:appointments.startDate.edit;app:appointments.issueDate.edit,
e832327b-7fc2-4e64-a527-7e6ae0cdd041,SIHSALUS Consulta Externa,Acceso a las funciones de consulta externa de SIHSALUS,Inventory Provider Access,Create Attachments;View Attachments;Add Allergies;Add Encounters;Add Observations;Add Orders;Add Patient Programs;Add Problems;Add Relationships;Add Visits;app:hoja.clinica;app:hoja.clinica.adjuntos;app:hoja.clinica.adjuntos.editar;app:hoja.clinica.alergias;app:hoja.clinica.alergias.editar;app:hoja.clinica.canastaOrdenes;app:hoja.clinica.citas;app:hoja.clinica.citas.editar;app:hoja.clinica.condiciones;app:hoja.clinica.condiciones.editar;app:hoja.clinica.consultaExterna;app:hoja.clinica.consultaExterna.editar;app:hoja.clinica.estadoVitalPaciente;app:hoja.clinica.formulariosClinicos;app:hoja.clinica.historiaSocial;app:hoja.clinica.historiaSocial.editar;app:hoja.clinica.inmunizaciones;app:hoja.clinica.inmunizaciones.editar;app:hoja.clinica.interconsultas;app:hoja.clinica.interconsultas.editar;app:hoja.clinica.listaTareas;app:hoja.clinica.medicamentos;app:hoja.clinica.medicamentos.editar;app:hoja.clinica.ordenes;app:hoja.clinica.ordenes.editar;app:hoja.clinica.procedimientos;app:hoja.clinica.procedimientos.editar;app:hoja.clinica.programas;app:hoja.clinica.programas.editar;app:hoja.clinica.resultados;app:hoja.clinica.resumen;app:hoja.clinica.resumenConsulta;app:hoja.clinica.resumenConsulta.editar;app:hoja.clinica.signosVitales;app:hoja.clinica.signosVitales.editar;app:hoja.clinica.visitas;app:hoja.clinica.visitas.editar;app:home;app:home.citas;app:home.citas.editar;app:home.colasAtencion;app:home.colasAtencion.editar;app:home.interconsultas;app:home.interconsultas.editar;app:home.tabla.consultas.activas;app:opciones.busquedaPaciente;Appointments: Invite Providers;Delete Conditions;Delete Diagnoses;Delete Encounters;Delete Notes;Delete Observations;Delete Orders;Delete Patient Programs;Delete Relationships;Delete Visits;Edit Allergies;Edit Conditions;Edit Diagnoses;Edit Encounters;Edit Notes;Edit Observations;Edit Patient Identifiers;Edit Orders;Edit Patient Programs;Edit People;Edit Problems;Edit Relationships;Edit Visits;Form Entry;Get Allergies;Get Care Settings;Get Concept Classes;Get Concept Datatypes;Get Concept Sources;Get Concepts;Get Conditions;Get Diagnoses;Get Diagnoses Attribute Types;Get Encounter Roles;Get Encounter Types;Get Encounters;Get Forms;Get Identifier Types;Get Location Attribute Types;Get Locations;Get Notes;Get Observations;Get Order Frequencies;Get Order Sets;Get Order Types;Get Orders;Get Patient Identifiers;Get Patient Programs;Get Patients;Get People;Get Person Attribute Types;Get Problems;Get Procedure Types;Get Procedures;Get Programs;Get Providers;Get Queue Entries;Get Queue Rooms;Get Queues;Get Relationship Types;Get Relationships;Get Visit Attribute Types;Get Visit Types;Get Visits;Manage Appointments;Manage Own Appointments;Manage Procedures;Manage Queue Entries;Remove Allergies;Remove Problems;View Allergies;View Appointment Services;View Appointments;View Concept Classes;View Concept Datatypes;View Concept Sources;View Concepts;View Encounter Types;View Encounters;View Forms;View Identifier Types;View Locations;View Navigation Menu;View Observations;View Order Types;View Orders;View Patient Identifiers;View Patient Programs;View Patients;View People;View Person Attribute Types;View Problems;View Programs;View Relationship Types;View Relationships;app:appointments.startDate.edit;app:home.citas.editar.finalizarAtencion;app:hoja.clinica.citas.editar.finalizarAtencion,
c3c9b940-156f-4eaf-83b7-f11db420c51c,SIHSALUS Enfermero Triaje,"Registro de signos vitales y antropometria en triaje, con lectura de colas y busqueda de pacientes",,"Add Encounters;Add Observations;Edit Encounters;Edit Observations;Edit Visits;Form Entry;Get Concept Sources;Get Concepts;Get Encounter Roles;Get Encounter Types;Get Encounters;Get Forms;Get Locations;Get Observations;Get Patient Identifiers;Get Patient Programs;Get Patients;Get People;Get Person Attribute Types;Get Providers;Get Queue Entries;Get Queue Rooms;Get Queues;Get Visit Types;Get Visits;Manage Queue Entries;View Appointments;View Concepts;View Encounter Types;View Encounters;View Forms;View Locations;View Navigation Menu;View Observations;View Patient Identifiers;View Patients;View People;View Person Attribute Types;app:hoja.clinica;app:hoja.clinica.resumen;app:hoja.clinica.signosVitales;app:hoja.clinica.signosVitales.editar;app:home;app:home.colasAtencion;app:opciones.busquedaPaciente",
245ef17e-6022-4190-ae9f-b11e83d9d12b,SIH SALUS Citas,Acceso funcional para SIH SALUS Citas.,,app:home.citas;View Appointments;View Appointment Services;Get Visits;Get Concepts;Get Patients;Get Concept Sources,
a32260fb-8373-4c50-8c62-f17045a5e78d,SIH SALUS Citas editar,Acceso funcional para SIH SALUS Citas editar.,,app:home.citas.editar;View Appointments;View Appointment Services;Get Visits;Get Concepts;Get Patients;Get Concept Sources;Get Observations;View Cohorts In Cohort Module;Get Providers;Manage Own Appointments;Manage Appointments,
841aa4ae-ae96-47ad-893f-9b234a968c09,SIH SALUS Citas finalizar atención,Acceso funcional para SIH SALUS Citas finalizar atención.,,app:home.citas.editar.finalizarAtencion;View Appointments;View Appointment Services;Get Visits;Get Concepts;Get Patients;Get Concept Sources;Get Observations;View Cohorts In Cohort Module;Get Providers;Manage Own Appointments;Manage Appointments,
94375168-ca54-4b7d-a572-c285f75a67de,SIH SALUS Colas de atención,Acceso funcional para SIH SALUS Colas de atención.,,app:home.colasAtencion;Get Queues;Get Queue Entries;Get Concepts;Get Visits,
64b3168f-44c5-41e7-9ab4-8f9f338ed4c7,SIH SALUS Colas de atención editar,Acceso funcional para SIH SALUS Colas de atención editar.,,app:home.colasAtencion.editar;app:opciones.registrarAcompanante;app:home.colasAtencion.limpiar;Get Queues;Get Queue Entries;Get Concepts;Get Visits;Get Patients;Get Concept Sources;View Cohorts In Cohort Module;Get Observations;Add Visits;Edit Visits;Get Beds;Get Admission Locations;Get Encounters;Get Concept Attribute Types;Add People,
a203cf39-6eb9-4c48-971b-09eecbfc9a3d,SIH SALUS Interconsultas,Acceso funcional para SIH SALUS Interconsultas.,,app:home.interconsultas;Get Orders,
46345ea9-90b0-4a69-8b85-3a553073d027,SIH SALUS Interconsultas editar,Acceso funcional para SIH SALUS Interconsultas editar.,,app:home.interconsultas.editar,
85872978-60da-4f3a-8732-95d85ec84b70,SIH SALUS Listas de pacientes,Acceso funcional para SIH SALUS Listas de pacientes.,,app:home.listasPacientes;View Cohorts In Cohort Module;Get Patients;Edit Cohorts In Cohort Module;Get Users;Edit Users,
3c8ef176-a052-4140-b439-b5c4428e0889,SIH SALUS Tabla de consultas activas,Acceso funcional para SIH SALUS Tabla de consultas activas.,,app:home.tabla.consultas.activas;Get Visits,
aee7e322-cbe4-4c0a-b514-8915837d6ec4,SIH SALUS Busqueda de paciente,Acceso funcional para SIH SALUS Busqueda de paciente.,,app:opciones.busquedaPaciente;Get Patients;Get Concepts;Get Visits;Get Concept Sources;View Cohorts In Cohort Module;Get Observations,
5c9c092b-c37c-487e-9294-e2707069071c,SIH SALUS Hoja Clinica,Acceso funcional para SIH SALUS Hoja Clinica.,,app:hoja.clinica;Get Patients;Get Visits;Get Concept Sources;View Cohorts In Cohort Module;Edit Cohorts In Cohort Module;Edit Observations;Add Observations;Add People;Edit People,
46d700c7-71a7-486f-8467-e85f2a08678e,SIH SALUS Hoja Clinica Adjuntos,Acceso funcional para SIH SALUS Hoja Clinica Adjuntos.,,app:hoja.clinica.adjuntos;Get Observations;Get Concepts;Get Encounters;View Attachments,
ceaf46f8-6f27-4da5-885a-5d830cfc059c,SIH SALUS Hoja Clinica Adjuntos editar,Acceso funcional para SIH SALUS Hoja Clinica Adjuntos editar.,,Create Attachments;View Attachments;app:hoja.clinica.adjuntos.editar;Get Providers;Add Observations;Delete Observations,
ff8e4d95-14a4-4342-a93b-ec7cceb3d7d6,SIH SALUS Hoja Clinica Alergias,Acceso funcional para SIH SALUS Hoja Clinica Alergias.,,app:hoja.clinica.alergias;Get Allergies,
56de084f-00c3-4ad8-a0ce-40d7dbe2e388,SIH SALUS Hoja Clinica Alergias editar,Acceso funcional para SIH SALUS Hoja Clinica Alergias editar.,,app:hoja.clinica.alergias.editar;Get Allergies;Add Allergies;Edit Allergies;Remove Allergies,
60c87769-55d8-4ac5-968f-28342263e1c1,SIH SALUS Hoja Clinica Ordenes,Acceso funcional para SIH SALUS Hoja Clinica Ordenes.,,app:hoja.clinica.ordenes;Get Care Settings;Get Orders,
0ad28c3b-d545-43b6-ad8f-c90c4dcd4e9a,SIH SALUS Hoja Clinica Ordenes editar,Acceso funcional para SIH SALUS Hoja Clinica Ordenes editar.,,app:hoja.clinica.ordenes.editar;app:hoja.clinica.canastaOrdenes;Get Care Settings;Get Orders;Add Encounters;Add Orders;Edit Orders;Get Concepts;Get Order Types;Get Order Frequencies,
0c0fe670-e4e1-40cc-adf6-15ea3bce7a6e,SIH SALUS Hoja Clinica Citas,Acceso funcional para SIH SALUS Hoja Clinica Citas.,,app:hoja.clinica.citas;Manage Appointments;View Appointments,
92a0b0d0-e7e4-48f6-b541-43aa427f4018,SIH SALUS Hoja Clinica Citas editar,Acceso funcional para SIH SALUS Hoja Clinica Citas editar.,,app:hoja.clinica.citas.editar;Manage Appointments;View Appointments;Get Providers;View Appointment Services;Manage Appointment Services,
e3b85bd8-3296-41ce-be41-a253dd783e8b,SIH SALUS Hoja Clinica Condiciones,Acceso funcional para SIH SALUS Hoja Clinica Condiciones.,,app:hoja.clinica.condiciones,
a6fd885a-2766-4d28-879b-0f6da108ce83,SIH SALUS Hoja Clinica Condiciones editar,Acceso funcional para SIH SALUS Hoja Clinica Condiciones editar.,,app:hoja.clinica.condiciones.editar,
ebc48a0e-0f29-4163-8815-abd13334caae,SIH SALUS Hoja Clinica Consulta externa,Acceso funcional para SIH SALUS Hoja Clinica Consulta externa.,,app:hoja.clinica.consultaExterna;Get Encounters,
77c57148-6236-46bb-8d0d-d60a6eb68bfa,SIH SALUS Hoja Clinica Consulta externa editar,Acceso funcional para SIH SALUS Hoja Clinica Consulta externa editar.,,app:hoja.clinica.consultaExterna.editar;Get Forms;Get Encounter Roles;Get Providers;Add Encounters;Edit Encounters,
b4a08735-f16e-4229-811c-da8e53977450,SIH SALUS Hoja Clinica Formularios Clinicos,Acceso funcional para SIH SALUS Hoja Clinica Formularios Clinicos.,,app:hoja.clinica.formulariosClinicos;Get Forms;Get Encounters;Get Encounter Roles;Get Providers,
0cdbd991-f222-4d6c-b068-c5cdff0ef2b8,SIH SALUS Hoja Clinica Historia social,Acceso funcional para SIH SALUS Hoja Clinica Historia social.,,app:hoja.clinica.historiaSocial;Get Encounters;Get Providers,
ed1ae2b8-dc6c-44f4-afc5-50669751914d,SIH SALUS Hoja Clinica Historia social editar,Acceso funcional para SIH SALUS Hoja Clinica Historia social editar.,,app:hoja.clinica.historiaSocial.editar,
cde7eab7-503d-4de0-9ae1-4c0a9750c65f,SIH SALUS Hoja Clinica Inmunizaciones,Acceso funcional para SIH SALUS Hoja Clinica Inmunizaciones.,,app:hoja.clinica.inmunizaciones;Get Encounters;Get Encounter Roles,
aab87b49-5a49-49fd-b476-3ebb8d0dc386,SIH SALUS Hoja Clinica Inmunizaciones editar,Acceso funcional para SIH SALUS Hoja Clinica Inmunizaciones editar.,,app:hoja.clinica.inmunizaciones.editar;Get Encounters;Get Encounter Roles;Get Providers,
d5160795-67fc-4b0b-b5ac-07b20dbb07d3,SIH SALUS Hoja Clinica Interconsultas,Acceso funcional para SIH SALUS Hoja Clinica Interconsultas.,,app:hoja.clinica.interconsultas;Get Orders;Get Encounters,
a36cc8b7-4f9e-4a24-94b4-c05ed62f323e,SIH SALUS Hoja Clinica Interconsultas editar,Acceso funcional para SIH SALUS Hoja Clinica Interconsultas editar.,,app:hoja.clinica.interconsultas.editar,
40d847a7-2cf0-40ad-8206-7301fbe454d1,SIH SALUS Hoja Clinica Lista de tareas,Acceso funcional para SIH SALUS Hoja Clinica Lista de tareas.,,app:hoja.clinica.listaTareas;Get Providers,
f47b57d8-262f-456a-80c6-bb6a7bf48afc,SIH SALUS Hoja Clinica Medicamentos,Acceso funcional para SIH SALUS Hoja Clinica Medicamentos.,,app:hoja.clinica.medicamentos;Get Care Settings;Get Orders;Get Encounters,
78492dfd-60aa-482f-9ec3-79cb93d75e5e,SIH SALUS Hoja Clinica Medicamentos editar,Acceso funcional para SIH SALUS Hoja Clinica Medicamentos editar.,,app:hoja.clinica.medicamentos.editar;Add Orders;Edit Orders;Get Concepts;Get Care Settings;Get Order Types;Get Order Frequencies,
191511a0-dee7-4e81-8fde-92543c2189bc,SIH SALUS Hoja Clinica Procedimientos,Acceso funcional para SIH SALUS Hoja Clinica Procedimientos.,,app:hoja.clinica.procedimientos;Get Procedures,
9b1fa0c2-d8e7-45e2-8f52-cee5af7db4d9,SIH SALUS Hoja Clinica Procedimientos editar,Acceso funcional para SIH SALUS Hoja Clinica Procedimientos editar.,,app:hoja.clinica.procedimientos.editar;Manage Procedures;Get Procedure Types;Get Concepts;Get Concept Classes,
8453b294-df2c-414e-bae7-54e2418ea414,SIH SALUS Hoja Clinica Programas,Acceso funcional para SIH SALUS Hoja Clinica Programas.,,app:hoja.clinica.programas;Get Patient Programs,
