Uuid,Void/Retire,Name,Description,View privilege,Edit privilege,_order:1000
3942f612-fea0-4414-b7a6-eaf24413e145,,Nota de Evolución de Hospitalización,"Registro diario de la evolución clínica del paciente hospitalizado. Basado en la R.M. N° 546-2011.",,,
07d73526-c3c4-490e-9b0a-1cd884cc3822,,Solicitud de Traslado,"Registro de solicitud de referencia para traslado de paciente a hospital de mayor complejidad. Basado en la NTS N° 102-MINSA.",,,
46ee60b6-8212-4464-a592-d7371e8b3a48,,Anulación de Encuentro,"Registro que indica la anulación de una referencia, traslado o egreso, con justificación médica. Basado en la R.M. N° 546-2011.",,,
58a87b85-cb6c-4a4c-bc5f-0a2d1e0ff8ba,,Control Prenatal,"Evaluaciones periódicas de la gestante para seguimiento del embarazo. Basado en la NTS N° 050-MINSA.",,,
1bba4502-5493-4c41-8e29-71b81e137690,,Control Postnatal,"Evaluación de la madre y el recién nacido después del parto. Basado en la NTS N° 050-MINSA.",,,
a990eabc-3405-419f-bfb1-96ca2d8279b8,,Control de Niño Sano,"Evaluaciones periódicas del crecimiento y desarrollo infantil. Basado en la NTS N° 238-MINSA/DGIESP-2025.",,,
1a58800e-dc0d-49b3-abfa-5da144e08d00,,Atención de Odontología,"Registro de atenciones odontológicas preventivas o curativas. Basado en la NTS N° 040-MINSA.",,,
319dcd44-19c5-432c-9733-d1f3798fffd6,,Carga de Archivos Clínicos,"Registro de documentos adjuntos al expediente del paciente. Basado en la R.M. N° 546-2011.",,,
a4133bfb-a43a-42ac-84a5-0367451e4f23,,Supervisión de Tratamiento DOT (Tuberculosis),"Registro de la administración de medicamentos supervisados para TB. Basado en la NTS N° 090-MINSA.",,,
91b5f447-e6f6-4ad0-8ec5-75151b46bd82,,Atención de Paciente con Desnutrición y Anemia,"Evaluación y manejo nutricional en población infantil y gestante. Basado en la NTS N° 102-MINSA.",,,
eb9c0ccb-c8c7-4e92-9346-d0c213d8ba9f,,Ecografía Obstétrica,"Registro de ecografías prenatales en seguimiento del embarazo. Basado en la NTS N° 050-MINSA.",,,
2314baf3-2876-4ff7-b7f2-a73e157eec57,,Manejo de Personas Afectadas por COVID-19,"Evaluación, tratamiento y monitoreo de pacientes con COVID-19. Basado en la NTS N° 094-2022.",,,
a0a7d43a-1fd1-4df9-9429-a3e84f1d7c62,,Atención de Salud Ambulatoria Quirúrgica Electiva,"Registro de intervenciones quirúrgicas programadas sin hospitalización prolongada. Basado en la NTS N° 172-MINSA.",,,
465a92f2-baf8-42e9-9612-53064be868e8,,Terapia física,"La terapia física trata las enfermedades que limitan la capacidad de una persona de realizar actividades funcionales en su vida cotidiana.",,,
39da3525-afe4-45ff-8977-c53b7b359158,,Ordenes Medicas,"Encuentro para registrar ordenes de laboratorio y de medicamentos",,,
d7151f82-c1f3-4152-a605-2f9ea7414a79,,Notas de Atención,"Registro de observaciones clínicas y evolución del paciente en cada consulta.",,,
bfbb5dc2-d3e6-41ea-ad86-101336e3e38f,,Atención Extramural,"Atención brindada fuera del establecimiento de salud, incluyendo visitas domiciliarias y campañas de salud.",,,
e0a6cba3-fa9c-4bf0-90b7-9d4d48401d1c,,Evaluación Cefalo Caudal,"Evaluaciòn Cefalo Caudal, parte de Control de Niño Sano." ,,,
f90ac51d-bc0b-4551-a6f2-358e1a47751f,,Consejería Lactancia Materna,"Consejeria Materna, parte del Control de Niño Sano" ,,,
83c8d2d0-4758-43b5-bba7-04aac5c08a07,,Atención Inmediata del Recién Nacido,"Atención Inmediata del Recién Nacido, parte del programa CRED.",,,
a99e704f-46f6-4461-937d-606481fb0fc3,,Registro de Antecedentes Perinatales,"Antecedentes perinatales y del Recién nacido",,,
a99e704f-46f6-4b2a-937d-606481cedced,,Evaluación CRED,"Evaluación sistemática del crecimiento físico, desarrollo psicomotor y estado nutricional. Basado en la NTS N° 238-MINSA/DGIESP-2025.",,,
a99e704f-46f6-4c3b-937d-606b1acedced,,Evaluación No CRED,"Consulta médica para atención de síntomas, diagnóstico o tratamiento específico",,,
984baa36-ee50-4693-92dd-82145be4847e,,Alojamiento Conjunto,"Es la permanencia del recién nacido y su madre en la misma habitación facilitando el apego y la lactancia materna exclusiva.",,,
3cde4d44-72f8-4aeb-9025-7a8906a56ae8,,Sesión de Psicoprofilaxis,"Registro de sesiones de psicoprofilaxis obstétrica (6 sesiones mínimo). Basado en la RM 361-2011 MINSA.",,,
dc8c79e5-41cd-4c5b-ae71-6de503038407,,Epicrisis Médica HSC,"Registro de epicrisis médica con resumen del diagnóstico, tratamiento y evolución del paciente durante la hospitalización.",,,
46eef0fc-af43-4d26-b738-e6362dad0cc8,,Referencia del Paciente HSC,"Registro de referencia del paciente a otro establecimiento de salud de mayor complejidad. Basado en la NTS N° 102-MINSA.",,,
44b35f47-19da-458c-b651-66437638fb5c,,Diagnóstico y Seguimiento de Tuberculosis,"Registro de diagnóstico, clasificación (TB pulmonar/extrapulmonar, sensible/resistente), inicio de esquema de tratamiento y controles de seguimiento (baciloscopías, cultivos, radiografías). Basado en la NTS N° 200-MINSA/DGIESP-2023 (RM 339-2023).",,,
5cbb797f-bed5-4301-a3ce-6cc7eb7c687b,,Tamizaje de VIH,"Registro de prueba rápida o ELISA para detección de VIH. Obligatorio en gestantes y grupos de riesgo. Basado en la NTS N° 169-MINSA/2020 (RM 1024-2020).",,,
a619a366-9401-45c3-93cf-02ff67d82dce,,Manejo de Terapia Antirretroviral (TARGA),"Registro de inicio, seguimiento y cambio de esquema de tratamiento antirretroviral. Incluye monitoreo de CD4 y carga viral. Basado en la NTS N° 169-MINSA/2020.",,,
04fc3d06-4e41-45a0-8367-20b219a438fa,,Valoración Clínica del Adulto Mayor (VACAM),"Evaluación geriátrica integral: funcional (Katz/Lawton), cognitiva (Pfeiffer), afectiva (Yesavage), nutricional (Mini Nutritional Assessment) y social. Basado en la NTS N° 207-MINSA/DGIESP-2023 (RM 789-2023).",,,
c8a42de8-caa7-42da-9a76-20bbd388db16,,Consejería en Planificación Familiar,"Orientación y provisión de métodos anticonceptivos, seguimiento de uso y control de efectos adversos. Basado en la NTS N° 124-MINSA/2016 (RM 652-2016).",,,
56ac61e7-2629-4834-b2b0-6831bc20f50f,,Tamizaje de Cáncer Cervical,"Registro de tamizaje de cáncer de cuello uterino mediante PAP, IVAA o prueba molecular VPH. Basado en el Programa Presupuestal 0024 (RM 576-2019).",,,
2f2a0a11-6ec9-4d01-96bd-11c3188d4a9d,,Tamizaje de Cáncer de Mama,"Registro de examen clínico, educación preventiva, mamografía y seguimiento por riesgo de cáncer de mama.",,,
ff7327ce-f06e-4a2e-ba2a-8ef0cf7b89d7,,Atención de Enfermedades Metaxénicas,"Registro de diagnóstico y tratamiento de enfermedades transmitidas por vectores: dengue, malaria, leptospirosis, leishmaniasis y bartonelosis. Basado en el PP 0017.",,,
8a5c3b33-9157-4261-b9e8-60be8e055e47,,Atención Integral del Adolescente,"Evaluación integral de salud del adolescente (12-17 años): tamizaje de riesgos, salud sexual y reproductiva, salud mental y nutricional. Basado en la NTS N° 157-MINSA/2019 (RM 1001-2019).",,,
9da40eb7-927e-44e6-a981-2480c1f5386b,,Balance de Líquidos del Recién Nacido,"Registro de balance de líquidos (deposiciones, micciones, vómitos) del recién nacido. Basado en la NTS N° 106-MINSA.",,,
c0372dfa-6787-4e6d-9e70-95e77b4365fc,,Intervención Psicológica,"Registro de sesión de intervención psicológica, psicoeducación, psicoterapia o seguimiento comunitario. Basado en la NTS N° 138-MINSA/2017/DGIESP.",,,
b87a1fe3-d956-4e7a-8640-13e70b73fa42,,Plan de Atención Individualizado en Salud Mental,"Registro del plan de atención individualizado de salud mental con objetivos, intervenciones y seguimiento. Basado en la NTS N° 138-MINSA/2017/DGIESP.",,,
d55108da-4ec7-4042-af62-027c282fa588,,Tamizaje de Salud Mental,"Registro de tamizaje de salud mental, riesgo psicosocial o violencia para detección y referencia oportuna. Basado en la NTS N° 138-MINSA/2017/DGIESP y orientaciones técnicas MINSA de salud mental.",,,
de1f9d67-b73e-4e1b-90d0-036166fc6995,,Registro de Relación Familiar y Contactos,"Registro administrativo creado desde Ficha Familiar/PNS para asociar observaciones demográficas del contacto o responsable creado durante el flujo de relaciones.",,,
c7059f4b-385f-45e7-82ad-204e5b380196,,Historia social,Registro de consumo de alcohol y tabaco.,app:hoja.clinica.historiaSocial,app:hoja.clinica.historiaSocial.editar,
