Uuid,Concept Numeric uuid,Label,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Criteria
e63ce18d-b109-4097-9257-0258fbd54340,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 6 - 23 meses,0,7,10.5,15,22,30,"$fn.getMonthsBetween($patient.getBirthdate(), $date) >= 6 && $fn.getMonthsBetween($patient.getBirthdate(), $date) < 24"
ca4e4986-5945-4dd3-bba6-57cb87b267ed,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 24 - 59 meses,0,7,11,15,22,30,"$fn.getMonthsBetween($patient.getBirthdate(), $date) >= 24 && $fn.getMonthsBetween($patient.getBirthdate(), $date) < 60"
380b13ad-995a-4adc-83bc-454222e81c04,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 5 - 11 años,0,8,11.5,15,22,30,"$fn.getYearsBetween($patient.getBirthdate(), $date) >= 5 && $fn.getYearsBetween($patient.getBirthdate(), $date) < 12"
4a7b9f10-7d7b-4cb5-ab6c-3f9fe96809ed,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 12 - 14 años mujer no gestante,0,8,12,16,22,30,"$fn.getYearsBetween($patient.getBirthdate(), $date) >= 12 && $fn.getYearsBetween($patient.getBirthdate(), $date) < 15 && $patient.getGender().equals(""F"") && !$fn.isEnrolledInProgram(""3cb4ffd6-1b67-4c52-8398-4bf9844a415e"", $patient, $date)"
44dcad2a-1a4d-432a-928d-a7b2f15303c4,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina 12 - 14 años hombre,0,8,12,16,22,30,"$fn.getYearsBetween($patient.getBirthdate(), $date) >= 12 && $fn.getYearsBetween($patient.getBirthdate(), $date) < 15 && $patient.getGender().equals(""M"")"
d42fd5b0-8aa6-44ec-8bab-8b415569da26,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina mujer >=15 años no gestante,0,8,12,16,22,30,"$fn.getYearsBetween($patient.getBirthdate(), $date) >= 15 && $patient.getGender().equals(""F"") && !$fn.isEnrolledInProgram(""3cb4ffd6-1b67-4c52-8398-4bf9844a415e"", $patient, $date)"
7ec23591-4ea6-41ae-b97e-d06b2fe2fce1,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina hombre >=15 años,0,8,13,17,22,30,"$fn.getYearsBetween($patient.getBirthdate(), $date) >= 15 && $patient.getGender().equals(""M"")"
5c20e5ae-08d4-4546-b33b-50f757e09ba0,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina gestante 0 - <14 wks,0,7,11,16,22,30,"$patient.getGender().equals(""F"") && ($fn.isInProgramState(""46107dc1-e576-4b41-9f26-04e5aaa7fa1e"", $patient, $date) || $fn.isInProgramState(""932fd163-1356-4619-a5d2-1bcc4c06613c"", $patient, $date)) && {$fn.getLatestObs(""1e35f0dd-3bbb-4b45-96fd-2fc590c1b385"", $patient)}.?[#this != null && #this.getObsDatetime() != null && !#this.getObsDatetime().after(#root['$date']) && #this.getValueNumeric() != null && #this.getValueNumeric() >= 0 && #this.getValueNumeric() < 14].size() == 1"
9b3bf521-3b38-478f-8eba-0e329b4fd424,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina gestante 14 - <28 wks,0,7,10.5,16,22,30,"$patient.getGender().equals(""F"") && ($fn.isInProgramState(""46107dc1-e576-4b41-9f26-04e5aaa7fa1e"", $patient, $date) || $fn.isInProgramState(""932fd163-1356-4619-a5d2-1bcc4c06613c"", $patient, $date)) && {$fn.getLatestObs(""1e35f0dd-3bbb-4b45-96fd-2fc590c1b385"", $patient)}.?[#this != null && #this.getObsDatetime() != null && !#this.getObsDatetime().after(#root['$date']) && #this.getValueNumeric() != null && #this.getValueNumeric() >= 14 && #this.getValueNumeric() < 28].size() == 1"
a486f5a4-3ca6-440f-a8dc-60aab2ea1fd3,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina gestante >=28 wks hasta el parto,0,7,11,16,22,30,"$patient.getGender().equals(""F"") && ($fn.isInProgramState(""46107dc1-e576-4b41-9f26-04e5aaa7fa1e"", $patient, $date) || $fn.isInProgramState(""932fd163-1356-4619-a5d2-1bcc4c06613c"", $patient, $date)) && {$fn.getLatestObs(""1e35f0dd-3bbb-4b45-96fd-2fc590c1b385"", $patient)}.?[#this != null && #this.getObsDatetime() != null && !#this.getObsDatetime().after(#root['$date']) && #this.getValueNumeric() != null && #this.getValueNumeric() >= 28].size() == 1"
1db1f541-ca0b-4f73-9396-f85588ed92a5,0ffe780c-a3ee-4c9c-b4dd-bf2e0f79dc7f,Hemoglobina puerperio (estado Posparto activo),0,8,12,16,22,30,"$patient.getGender().equals(""F"") && $fn.isInProgramState(""931c779c-10f7-4ff5-817e-d3e42155b17f"", $patient, $date)"
d513c4b3-59dc-45e9-b5f2-21f1aa2ab0b2,2b501438-2aa7-4556-a39b-ef5dc414748a,Bilirrubina Total 0 - <14 days (Jendrassik/Grof),0,0,0.19,16.6,20,25,$patient.getAgeInDays() < 14
b98accc2-fe5f-4652-9ff8-dbd266c49a9f,2b501438-2aa7-4556-a39b-ef5dc414748a,Bilirrubina Total 14 - <1 yrs (Jendrassik/Grof),0,0,0.05,0.68,5,25,$patient.getAgeInDays() >= 14 && $patient.getAge() < 1
4318301e-685d-4c23-bd9b-7bf8b38012c6,2b501438-2aa7-4556-a39b-ef5dc414748a,Bilirrubina Total 1 - <3 yrs (Jendrassik/Grof),0,0,0.05,0.4,5,25,$patient.getAge() >= 1 && $patient.getAge() < 3
27f80ce4-c744-422d-8b29-a5fc62a31d43,2b501438-2aa7-4556-a39b-ef5dc414748a,Bilirrubina Total adulto 18 - <60 yrs (Jendrassik/Grof),0,0,0,1.2,5,25,$patient.getAge() >= 18 && $patient.getAge() < 60
f0d6e000-d62d-4f22-96ab-e4a715c63ea0,be385de1-a6f2-480e-a71e-87d64d65d926,Bilirrubina Total 0 - <2 days Liquicolor(Jendrassik/Grof),0,0,0,5,10,25,$patient.getAgeInDays() < 2
6370e14e-9452-4535-b089-6fcb8f47ff09,be385de1-a6f2-480e-a71e-87d64d65d926,Bilirrubina Total 2- <6 days Liquicolor(Jendrassik/Grof),0,0,0,12,20,25,$patient.getAgeInDays() >= 2  &&  $patient.getAgeInDays() < 6
f0cbf2fe-dab2-4edd-9806-e4730ae7ea01,be385de1-a6f2-480e-a71e-87d64d65d926,Bilirrubina Total  6- <1 month Liquicolor(Jendrassik/Grof),0,0,0,12,20,25,$patient.getAgeInDays() >= 6 && $patient.getAgeInMonths() < 1
24966c7c-f8ea-4efc-9c82-e97e1f4de59e,be385de1-a6f2-480e-a71e-87d64d65d926,Bilirrubina Total  1- <12 month Liquicolor(Jendrassik/Grof),0,0,0,1.5,5,25,$patient.getAgeInMonths() >= 1 && $patient.getAgeInMonths() < 12
33ce680b-fa8e-4d0d-b648-9f205f3cc0dd,be385de1-a6f2-480e-a71e-87d64d65d926,Bilirrubina Total adulto 18 - <60 yrs Liquicolor(Jendrassik/Grof),0,0,0,1.1,5,25,$patient.getAge() >= 18 && $patient.getAge() < 60
3c8d5907-6dee-4922-915b-144537f36b1c,f537c6d3-7fdd-45e1-896d-2a5da35e28bd,Alanina Aminotransferasa U/I (IFCC sin piridoxal fosfato) adulto hombre 18 - <60 yrs,0,0,0,42,200,500,"$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals(""M"")"
99e41a50-d1f9-43ab-b12b-ab8eb9c16044,f537c6d3-7fdd-45e1-896d-2a5da35e28bd,Alanina Aminotransferasa U/I (IFCC sin piridoxal fosfato) adulto mujer 18 - <60 yrs,0,0,0,32,200,500,"$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals(""F"")"
12f80e8d-fb40-4406-afff-6a421fba0bbe,d75ffa5a-7419-4de9-abac-732d4ee58a6f,Aspartato Aminotransferasa U/I (IFCC sin piridoxal fosfato) adulto hombre 18 - <60 yrs,0,0,0,37,200,600,"$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals(""M"")"
0cef4ea9-9f8f-4d88-bb94-0e67df4f93b8,d75ffa5a-7419-4de9-abac-732d4ee58a6f,Aspartato Aminotransferasa U/I (IFCC sin piridoxal fosfato) adulto mujer 18 - <60 yrs,0,0,0,31,200,600,"$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals(""F"")"
7ee13ce4-48ac-41b8-94ba-5ea0bf3f5487,4905ca51-85d5-4d4e-a433-3958f57b145f,Suero/Plasma Ácido Úrico MonlabTest Uricasa-POD adultos mujeres 18 - <60 yrs,0,2,3.7,7.7,13,40,"$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals(""F"")"
cefa7c51-3ce7-4743-8ef1-62eb9af7a4c3,4905ca51-85d5-4d4e-a433-3958f57b145f,Suero/Plasma Ácido Úrico MonlabTest Uricasa-POD adultos hombres 18 - <60 yrs,0,2,2.5,6.2,13,40,"$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals(""M"")"
47f10c51-f349-4af7-8e3a-2ffaf9d26247,f7dcbfe1-dbd5-43bd-8e36-66caba9286e2,Suero/Plasma Ácido Úrico liquicolor (Método PAP) adultos mujeres 18 - <60 yrs,0,2,2.4,5.7,13,20,"$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals(""F"")"
1e2ec1b7-4e1e-43cf-add7-183157365bdd,f7dcbfe1-dbd5-43bd-8e36-66caba9286e2,Suero/Plasma Ácido Úrico liquicolor (Método PAP) adultos hombres 18 - <60 yrs,0,2,3.4,7,13,20,"$patient.getAge() >= 18 && $patient.getAge() < 60 && $patient.getGender().equals(""M"")"
811c9d4f-e1fd-4dee-a532-30b5e8cb3efc,8cec7b65-cc58-4b3e-9cd6-afbcd09c98f9,Proteinas Totales sericas g/dl recien nacido,0,0,4.6,7,9,12,$patient.getAge() < 3
6012769e-6f73-4a13-a2e4-71e4c1ec4322,8cec7b65-cc58-4b3e-9cd6-afbcd09c98f9,Proteínas totales séricas g/dl de 3 a 17 años,0,0,6,8,10,12,$patient.getAge() >= 3 && $patient.getAge() < 18
301a2d68-4607-4d6c-a560-84e5be36be2c,8cec7b65-cc58-4b3e-9cd6-afbcd09c98f9,Proteinas Totales sericas g/dl adulto ,0,0,6.4,8.3,10,12,$patient.getAge() >=18
9c70f96c-73c4-4f55-8879-0b0b3fa8796f,309b77ab-f8d8-40b4-84fc-0ba6895c32b9,VSG(Velocidad de sedimentacion)en mm Varones < 50 yrs,0,0,0,15,50,100,$patient.getGender().equals(""M"") && $patient.getAge() < 50
54057390-0498-4087-ade3-578bcce79456,309b77ab-f8d8-40b4-84fc-0ba6895c32b9,VSG(Velocidad de sedimentacion)en mm Mujeres < 50  yrs,0,0,0,15,50,100,$patient.getGender().equals(""F"") && $patient.getAge() < 50
690626e4-8dcd-44be-978e-55676886e983,309b77ab-f8d8-40b4-84fc-0ba6895c32b9,VSG(Velocidad de sedimentacion)en mm Varones >= 50 yrs,0,0,0,20,50,100,$patient.getGender().equals(""M"") && $patient.getAge() >= 50
233e82c4-7dd6-41a8-b11e-f2485ddca2ba,309b77ab-f8d8-40b4-84fc-0ba6895c32b9,VSG(Velocidad de sedimentacion)en mm Mujeres  >= 50 yrs,0,0,0,30,50,100,$patient.getGender().equals(""F"") && $patient.getAge() >= 50
f3583b69-f9d8-46b6-bfcd-a7d0657d6336,073f14a4-c8e9-4c28-a441-b486e76fcceb,Orina Gravedad Específica Densidad (Niños y Adulto),1,1,1.005,1.030,1.040,1.040,$patient.getAgeInDays() > 1 && $patient.getAge() < 60
37d3f91c-788c-45f8-9c8d-1022ead84828,073f14a4-c8e9-4c28-a441-b486e76fcceb,Orina Gravedad Específica Densidad Recién Nacido,1,1,1.001,1.020,1.030,1.040,$patient.getAgeInDays() < 2
51f8d8e0-2b86-4d76-9ec9-13b14ee3cd6a,073f14a4-c8e9-4c28-a441-b486e76fcceb,Orina Gravedad Específica Densidad Ancianos,1,1,1.000,1.030,1.030,1.040,$patient.getAge() >= 60
26801d9a-7937-420e-9c36-03ca007a6bef,a45327ef-31bb-49a9-920f-302d46ff9f0b,Creatinina en Suero en Hombre mg/dl,0,0,0.6,1.1,5.0,13.0,$patient.getGender().equals(""M"")
74380209-eb7f-41fa-95a7-171fcdb35439,a45327ef-31bb-49a9-920f-302d46ff9f0b,Creatinina en Suero en Mujer mg/dl,0,0,0.5,0.9,5.0,13.0,$patient.getGender().equals(""F"")
45c9787e-8d00-417e-8d1b-c969dc4e0d9e,bc79bdb5-5bbe-4864-a2ed-81c7ad77ff88,Desactivado por magnitud incompatible: Creatinina Orina Hombre mg/kg/24h, 0,0,21,26,30,40,false
90a78c49-0304-47e9-932a-cab13fde4055,bc79bdb5-5bbe-4864-a2ed-81c7ad77ff88,Desactivado por magnitud incompatible: Creatinina Orina Mujer mg/kg/24h, 0,0,16,22,30,40,false
498193ef-17f5-423a-9f33-4a11ca0a2449,96538674-c5a1-4e4d-b15a-25268b55d5c2,Depuracion de Creatinina en Hombre en ml/min,0,30,97,137,200,300,$patient.getGender().equals(""M"")
178ca2c2-0568-4378-b6b2-4ecd11c26951,96538674-c5a1-4e4d-b15a-25268b55d5c2,Depuracion de Creatinina en Mujer en ml/min,0,30,88,128,200,300,$patient.getGender().equals(""F"")
22d94beb-029c-46ae-a8d7-b5becb86e1b1,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario Recien nacido hasta antes de 12h por celulas/mm3,100,2000,9000,30000,50000,100000,$patient.getAgeInDays() == 0 && $patient.getAgeInDays() <0.5
457699ea-b506-4348-9631-3d868d81a7e3,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario Recien nacido 12h -<24h por celulas/mm3,100,2000,13000,38000,50000,100000,$patient.getAgeInDays() >= 0.5 && $patient.getAgeInDays() <1
bad26c6b-d9f9-4d5c-a7d4-0414c770a2f4,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario Recien nacido 24h -<1 wks por celulas/mm3,100,2000,9400,34000,50000,100000,$patient.getAgeInDays() >= 1 && $patient.getAgeInWeeks() < 1
060ec06a-4fcb-4d30-9022-3b91ace7c9e5,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 1 -<2 wks por celulas/mm3,100,2000,5000,21000,50000,100000,$patient.getAgeInWeeks() >= 1 && $patient.getAgeInWeeks() < 2
f630c780-ae1b-426f-951b-8ad2cda94a3a,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 2 wks -< 1 month  por celulas/mm3,100,2000,5000,20000,50000,100000,$patient.getAgeInWeeks() >= 2 && $patient.getAgeInMonths() < 1
fb8ddda2-f1ac-4052-b2f2-4cefd0b0f345,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 1 -<6 month por celulas/mm3,100,2000,5000,19500,50000,100000,$patient.getAgeInMonths() >= 1 && $patient.getAgeInMonths() < 6
8bedf711-688e-4d98-8ee5-b40214ca7162,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 6 month -<2 yr por celulas/mm3,100,2000,6000,17500,50000,100000,$patient.getAgeInMonths() >= 6 && $patient.getAge() < 2
938bf92f-c96c-40dd-b83d-62d441324d0e,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 2  -<4 yr por celulas/mm3,100,2000,6000,17000,50000,100000,$patient.getAge() >= 2 && $patient.getAge() < 4
5de51d26-5ca7-45b9-a875-573d3aefb7de,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 4  -<6 yr por celulas/mm3,100,2000,5500,15500,50000,100000,$patient.getAge() >= 4 && $patient.getAge() < 6
f4340e07-b270-4c36-9a74-97e2081dbf5b,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 6 -<8 yr por celulas/mm3,100,2000,5000,14500,50000,100000,$patient.getAge() >= 6 && $patient.getAge() < 8
3dc9f4a6-b037-47b9-a133-82d0dc895f5c,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 8 -<16 yr por celulas/mm3,100,2000,4500,13500,50000,100000,$patient.getAge() >= 8 && $patient.getAge() < 16
3d719013-62ce-4969-9c1b-1a33b7ed4720,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario 16 -<18 yr por celulas/mm3,100,2000,4500,13000,50000,100000,$patient.getAge() >= 16 && $patient.getAge() < 18
b080e3bc-bfbd-4f99-89fb-aaaf65cabbee,68944608-7bd8-47c1-93ae-4b108f391b8d,Recuento Leucocitario >= 18 yr por celulas/mm3,100,2000,4400,11300,50000,100000,$patient.getAge() >= 18
3193271f-2f43-4a83-a1ec-5d42056a14b1,1d266ec3-b97c-4a19-a3d8-b76033b801f2,Orina Amilasa Hombres,0,10,16,491,1000,1500,$patient.getGender().equals(""M"")
901e0aa3-7cbf-4e57-8135-e3cf37566d61,1d266ec3-b97c-4a19-a3d8-b76033b801f2,Orina Amilasa Mujeres,0,10,21,447,1000,1500,$patient.getGender().equals(""F"")
